DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM             0.106               0.107            -0.002         8.190
RESSURF            0.104               0.103             0.001         9.687
SOLIN            340.304             340.349            -0.045         0.464
AAM            1.379e+26           1.359e+26         2.083e+24      -999.000
CHI_200            0.002              -0.002             0.004         0.821
CLDHGH            38.433              38.398             0.035         3.662
CLDLOW            40.423              43.246            -2.823         6.017
CLDMED            24.916              27.016            -2.099         3.826
CLDTOT            61.553              63.879            -2.326         4.556
EKE_850           27.651              30.152            -2.501         3.731
EP            -7.717e-06           5.175e-05        -5.947e-05         0.637
FLNS              53.287              54.819            -1.532         7.137
FLNSC             76.285              80.832            -4.548         9.236
FLNT             241.776             236.139             5.638         7.740
FLNTC            265.712             260.370             5.342         7.723
FSDS             186.430             185.919             0.511        11.972
FSDSC            245.000             246.090            -1.091         9.014
FSNS             166.685             161.587             5.098        14.488
FSNSC            220.415             216.263             4.152        17.588
FSNSC_ICE         42.676              50.688            -8.012        19.134
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             241.882             236.246             5.636        11.967
FSNTC            291.469             286.126             5.343        14.972
ICEAREA            9.028              22.077           -13.048         0.407
LHFLX             95.561              88.796             6.765        12.182
LWCF              23.936              24.232            -0.296         3.559
PRECT              3.283               3.041             0.242         0.636
PRECT_LAND         2.518               2.163             0.354         0.558
PRECT_OCEAN        3.712               3.577             0.135         0.671
PREH2O            30.957              25.025             5.932         6.532
PREH2O_OCEAN      34.857              29.438             5.420         7.029
PSI_200           -0.021              -0.020            -0.001         0.221
PS               985.922             985.340             0.582        13.370
PSL             1013.318            1011.526             1.792         2.176
QFLX               3.283               3.041             0.242         0.391
SHFLX             17.733              17.869            -0.136         8.201
SNOWHLND           8.060              11.419            -3.359        12.111
SST               22.956              20.275             2.681         2.792
STRESS_MAG         0.063               0.065            -0.002         0.010
SWCF             -49.587             -49.880             0.293         8.511
T_850            283.839             280.474             3.365         3.669
TGCLDLWP          42.964              40.968             1.995        12.128
TGCLDIWP          16.301              17.119            -0.818         6.435
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.096               0.124            -0.028         0.140
AODDUST            0.005               0.042            -0.037         0.134
TREFHT           290.744             286.883             3.861         4.776
TS               291.554             287.694             3.860         4.946
TS_LAND          285.877             280.393             5.484         5.723
U_200             16.022              15.919             0.103         1.781
VT_850             0.154               0.123             0.031         1.090
Z3_500            57.314              56.407             0.907         0.921
