DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM             8.290               8.062             0.228        12.198
RESSURF            7.670               7.262             0.408        21.555
SOLIN            350.536             350.516             0.020         0.359
AAM            1.482e+26           1.442e+26         3.979e+24      -999.000
CHI_200           -0.006              -0.010             0.004         1.038
CLDHGH            37.975              38.308            -0.333         4.524
CLDLOW            42.564              44.636            -2.072         6.247
CLDMED            25.714              27.849            -2.135         4.572
CLDTOT            62.738              64.784            -2.045         5.322
EKE_850           24.895              26.571            -1.676         3.385
EP             5.135e-03           6.744e-03        -1.609e-03         0.773
FLNS              52.011              54.094            -2.083         7.770
FLNSC             75.252              80.108            -4.856         9.993
FLNT             238.940             234.037             4.903         7.900
FLNTC            261.925             257.198             4.726         7.459
FSDS             193.025             193.883            -0.858        14.573
FSDSC            254.092             256.112            -2.020         7.381
FSNS             170.827             167.102             3.725        15.613
FSNSC            227.105             224.039             3.067        21.251
FSNSC_ICE         29.448              25.432             4.016         0.618
FSNSC_LAND       147.312             141.920             5.392        19.832
FSNT             247.230             242.099             5.131        14.393
FSNTC            298.851             293.742             5.108        20.032
ICEAREA            8.803              20.652           -11.849         0.377
LHFLX             95.469              89.276             6.194        14.809
LWCF              22.985              23.161            -0.177         4.292
PRECT              3.270               3.048             0.222         0.736
PRECT_LAND         2.479               2.168             0.311         0.566
PRECT_OCEAN        3.697               3.573             0.123         0.785
PREH2O            29.529              23.978             5.551         6.512
PREH2O_OCEAN      34.541              28.967             5.574         7.122
PSI_200            0.008               0.008             0.001         0.335
PS               985.782             985.238             0.545        13.404
PSL             1013.607            1011.782             1.825         2.294
QFLX               3.275               3.055             0.220         0.466
SHFLX             15.677              16.470            -0.794        10.229
SNOWHLND           8.952              12.171            -3.218        11.943
SST               22.989              20.280             2.709         2.812
STRESS_MAG         0.067               0.070            -0.004         0.015
SWCF             -51.621             -51.643             0.022        12.155
T_850            282.105             278.975             3.129         3.334
TGCLDLWP          41.334              39.008             2.327        14.703
TGCLDIWP          15.681              16.870            -1.189         8.930
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.086               0.106            -0.020         0.099
AODDUST            0.002               0.025            -0.023         0.090
TREFHT           288.514             284.980             3.534         4.474
TS               289.310             285.777             3.533         4.761
TS_LAND          277.910             273.926             3.984         5.016
U_200             16.918              16.576             0.342         2.582
VT_850            -0.776              -0.845             0.069         1.541
Z3_500            57.060              56.181             0.879         0.890
