DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            -9.893              -9.360            -0.534        15.466
RESSURF          -11.106             -10.657            -0.449        23.434
SOLIN            330.423             330.387             0.036         1.259
AAM            1.131e+26           1.156e+26        -2.533e+24      -999.000
CHI_200            0.012               0.008             0.004         1.034
CLDHGH            38.312              38.228             0.084         5.580
CLDLOW            39.324              42.511            -3.187         8.223
CLDMED            23.651              26.012            -2.361         5.454
CLDTOT            60.786              63.332            -2.546         6.469
EKE_850           24.303              26.673            -2.370         4.701
EP             1.234e-02           1.093e-02         1.415e-03         1.047
FLNS              53.264              54.413            -1.149         9.776
FLNSC             75.825              80.402            -4.577        11.347
FLNT             245.337             238.585             6.751        10.050
FLNTC            269.966             263.769             6.198         9.379
FSDS             177.000             175.033             1.968        18.211
FSDSC            234.982             235.121            -0.138        14.007
FSNS             160.408             153.939             6.469        21.429
FSNSC            213.597             208.265             5.332        25.638
FSNSC_ICE          0.636              42.056           -41.420         0.245
FSNSC_LAND       234.763             212.196            22.567        36.136
FSNT             235.444             229.226             6.218        18.380
FSNTC            284.979             279.181             5.798        22.737
ICEAREA            8.239              23.249           -15.009         0.541
LHFLX             98.832              91.140             7.693        18.242
LWCF              24.629              25.183            -0.554         5.628
PRECT              3.387               3.114             0.272         1.014
PRECT_LAND         2.664               2.254             0.410         1.020
PRECT_OCEAN        3.755               3.636             0.119         1.019
PREH2O            32.956              26.567             6.388         7.222
PREH2O_OCEAN      35.129              29.973             5.156         7.226
PSI_200           -0.054              -0.050            -0.004         0.406
PS               986.119             985.492             0.627        13.407
PSL             1013.128            1011.352             1.776         2.562
QFLX               3.399               3.125             0.274         0.572
SHFLX             19.417              19.043             0.374        12.219
SNOWHLND           7.074              10.489            -3.415        12.950
SST               22.747              20.059             2.688         2.879
STRESS_MAG         0.072               0.076            -0.003         0.014
SWCF             -49.535             -49.955             0.420        12.064
T_850            285.728             282.028             3.699         4.347
TGCLDLWP          46.451              44.976             1.475        14.783
TGCLDIWP          17.390              17.703            -0.313         9.485
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.104               0.149            -0.045         0.207
AODDUST            0.007               0.058            -0.051         0.199
TREFHT           292.881             288.720             4.162         5.516
TS               293.679             289.519             4.160         5.739
TS_LAND          293.126             286.356             6.771         6.653
U_200             13.630              14.079            -0.448         2.704
VT_850             1.086               1.090            -0.005         1.857
Z3_500            57.644              56.692             0.953         0.997
