DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM             0.596               0.688            -0.092        14.070
RESSURF           -1.522              -0.731            -0.790        14.510
SOLIN            338.288             338.456            -0.169         2.160
AAM            1.487e+26           1.461e+26         2.609e+24      -999.000
CHI_200           -0.004              -0.006             0.001         0.884
CLDHGH            39.203              39.194             0.009         4.485
CLDLOW            39.033              41.975            -2.942         6.793
CLDMED            25.141              27.087            -1.946         4.760
CLDTOT            61.215              63.622            -2.407         5.224
EKE_850           25.133              27.409            -2.276         3.819
EP             1.866e-02           1.181e-02         6.850e-03         0.791
FLNS              54.809              55.668            -0.859         9.337
FLNSC             77.455              81.287            -3.833        11.056
FLNT             241.292             235.301             5.991         9.392
FLNTC            265.616             260.175             5.441         8.574
FSDS             188.062             187.177             0.885        15.194
FSDSC            244.269             244.661            -0.392        11.223
FSNS             167.749             161.805             5.943        21.205
FSNSC            218.975             213.746             5.229        24.984
FSNSC_ICE         37.677              37.537             0.140        15.521
FSNSC_LAND       210.891             187.222            23.669        40.404
FSNT             241.888             235.989             5.899        18.186
FSNTC            289.163             283.438             5.725        22.047
ICEAREA           10.809              20.950           -10.140         0.426
LHFLX             95.366              88.149             7.217        13.564
LWCF              24.324              24.874            -0.550         4.732
PRECT              3.256               3.005             0.251         0.780
PRECT_LAND         2.421               2.106             0.315         0.584
PRECT_OCEAN        3.711               3.530             0.182         0.821
PREH2O            30.518              24.759             5.759         6.643
PREH2O_OCEAN      34.794              29.168             5.625         7.242
PSI_200           -0.012              -0.013             0.000         0.250
PS               985.879             985.314             0.565        13.527
PSL             1013.270            1011.512             1.758         2.294
QFLX               3.275               3.017             0.258         0.430
SHFLX             19.095              18.719             0.376        11.644
SNOWHLND           8.775              12.434            -3.659        12.318
SST               22.898              20.206             2.692         2.804
STRESS_MAG         0.062               0.064            -0.002         0.012
SWCF             -47.275             -47.449             0.174         9.999
T_850            283.814             280.521             3.293         3.634
TGCLDLWP          40.615              38.389             2.226        13.568
TGCLDIWP          16.300              17.614            -1.314         7.316
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.088               0.129            -0.041         0.164
AODDUST            0.007               0.051            -0.045         0.156
TREFHT           290.872             286.939             3.933         5.150
TS               291.710             287.779             3.931         5.349
TS_LAND          286.192             280.363             5.829         6.580
U_200             17.339              17.031             0.308         2.123
VT_850             0.095               0.015             0.080         1.323
Z3_500            57.266              56.372             0.894         0.907
