DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM             1.627               1.034             0.593        10.930
RESSURF            5.603               4.525             1.078        17.128
SOLIN            342.211             342.035             0.176         2.351
AAM            1.422e+26           1.376e+26         4.529e+24      -999.000
CHI_200            0.009               0.002             0.007         1.755
CLDHGH            38.229              37.862             0.366         4.844
CLDLOW            40.820              43.859            -3.039         6.962
CLDMED            25.180              27.115            -1.935         4.375
CLDTOT            61.497              63.780            -2.283         5.731
EKE_850           24.915              27.668            -2.753         4.510
EP            -3.640e-02          -2.924e-02        -7.168e-03         0.890
FLNS              53.034              55.106            -2.072         7.168
FLNSC             76.590              81.540            -4.950         9.833
FLNT             241.469             236.637             4.832         8.195
FLNTC            265.255             260.347             4.908         7.554
FSDS             187.791             187.588             0.203        13.339
FSDSC            246.874             248.473            -1.599         7.250
FSNS             167.859             163.506             4.353        14.790
FSNSC            222.147             219.009             3.138        20.030
FSNSC_ICE         56.425              45.606            10.818        22.807
FSNSC_LAND       171.748             163.828             7.920        19.873
FSNT             243.096             237.671             5.424        13.541
FSNTC            293.061             288.145             4.915        18.278
ICEAREA            8.250              23.440           -15.190         0.611
LHFLX             92.535              86.627             5.908        15.970
LWCF              23.786              23.710             0.076         4.957
PRECT              3.218               2.997             0.220         0.822
PRECT_LAND         2.506               2.127             0.379         0.801
PRECT_OCEAN        3.581               3.520             0.062         0.822
PREH2O            30.791              24.794             5.996         6.905
PREH2O_OCEAN      34.191              29.047             5.145         7.291
PSI_200           -0.027              -0.027            -0.000         0.334
PS               985.906             985.318             0.589        13.237
PSL             1013.274            1011.458             1.816         2.321
QFLX               3.181               2.968             0.213         0.495
SHFLX             16.687              17.247            -0.560         9.290
SNOWHLND           7.451              10.580            -3.129        12.096
SST               22.655              19.936             2.719         2.855
STRESS_MAG         0.070               0.071            -0.001         0.013
SWCF             -49.965             -50.474             0.509        11.841
T_850            283.671             280.380             3.291         3.555
TGCLDLWP          43.422              41.499             1.923        14.865
TGCLDIWP          15.817              16.297            -0.480         8.123
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.090               0.114            -0.025         0.121
AODDUST            0.003               0.033            -0.030         0.114
TREFHT           290.662             286.897             3.764         4.792
TS               291.466             287.706             3.761         5.030
TS_LAND          286.111             280.939             5.172         5.259
U_200             16.222              15.988             0.234         2.382
VT_850             0.182               0.230            -0.048         1.324
Z3_500            57.278              56.382             0.896         0.907
