DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM           -26.754             -28.068             1.313        10.316
RESSURF           -9.652             -11.082             1.430        11.743
SOLIN            303.200             302.678             0.522         0.576
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.106               0.099            -0.205         0.890
CLDHGH            36.953              35.458             1.495         4.084
CLDLOW            41.591              45.679            -4.088         6.747
CLDMED            27.278              29.883            -2.605         3.863
CLDTOT            61.035              63.382            -2.348         4.473
EKE_850           31.299              34.566            -3.267         4.352
EP             2.224e-02           2.794e-02        -5.699e-03         0.476
FLNS              60.938              59.029             1.909         8.339
FLNSC             85.813              86.879            -1.065         9.573
FLNT             237.489             229.301             8.188         9.564
FLNTC            257.662             249.459             8.203        10.207
FSDS             168.515             165.691             2.824        13.988
FSDSC            219.591             218.438             1.153        11.153
FSNS             144.968             134.553            10.415        18.323
FSNSC            190.548             180.674             9.873        22.359
FSNSC_ICE       -999.000              43.918          -999.000      -999.000
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             210.735             201.234             9.501        15.719
FSNTC            252.558             242.929             9.629        20.183
ICEAREA            3.933              11.238            -7.305         0.386
LHFLX             69.591              63.664             5.927        12.276
LWCF              20.173              20.158             0.015         3.298
PRECT              2.350               2.129             0.221         0.499
PRECT_LAND         1.903               1.658             0.244         0.516
PRECT_OCEAN        3.032               2.889             0.142         0.488
PREH2O            21.791              17.027             4.764         4.993
PREH2O_OCEAN      28.532              23.223             5.308         5.813
PSI_200           -7.187              -7.192             0.005         0.214
PS               974.447             976.568            -2.122        16.247
PSL             1018.485            1016.748             1.737         2.043
QFLX               2.372               2.157             0.215         0.402
SHFLX             24.091              22.942             1.150        10.376
SNOWHLND           2.252               5.318            -3.066        14.476
SST               20.814              17.792             3.022         3.198
STRESS_MAG         0.045               0.048            -0.003         0.009
SWCF             -41.822             -41.695            -0.128         8.313
T_850            280.394             276.120             4.274         4.551
TGCLDLWP          37.529              36.031             1.498         7.904
TGCLDIWP          16.884              17.342            -0.458         6.534
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.069               0.124            -0.056         0.178
AODDUST            0.011               0.071            -0.061         0.172
TREFHT           286.021             281.050             4.971         5.904
TS               286.793             281.727             5.066         6.178
TS_LAND          282.811             277.882             4.930         6.339
U_200             19.767              19.496             0.271         1.633
VT_850             0.215               0.245            -0.029         1.303
Z3_500            56.985              55.951             1.034         1.052
