DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM          -111.900            -108.327            -3.573         9.155
RESSURF          -81.775             -78.627            -3.148        31.290
SOLIN            161.091             161.345            -0.254         0.290
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.603               4.264            -0.660         1.306
CLDHGH            35.473              34.658             0.815         4.220
CLDLOW            48.953              51.908            -2.956         7.099
CLDMED            33.468              35.974            -2.505         5.135
CLDTOT            65.518              67.727            -2.209         5.492
EKE_850           41.098              42.520            -1.421         4.033
EP             2.078e-01           1.589e-01         4.893e-02         0.559
FLNS              59.740              58.248             1.493         8.432
FLNSC             86.763              86.775            -0.011        11.167
FLNT             220.206             213.085             7.121         9.124
FLNTC            238.010             230.561             7.449        10.634
FSDS              89.529              88.419             1.110         6.245
FSDSC            114.401             114.860            -0.459         3.946
FSNS              74.817              71.287             3.531        10.177
FSNSC             96.137              93.709             2.428        11.317
FSNSC_ICE          0.116               1.374            -1.258         0.063
FSNSC_LAND        77.411              76.889             0.522        17.027
FSNT             108.306             104.758             3.548         9.038
FSNTC            128.391             125.623             2.768        10.227
ICEAREA            5.788              13.768            -7.980         0.400
LHFLX             75.141              68.665             6.476        18.297
LWCF              17.803              17.475             0.328         4.002
PRECT              2.302               2.126             0.176         0.503
PRECT_LAND         1.173               1.063             0.111         0.369
PRECT_OCEAN        3.804               3.607             0.197         0.602
PREH2O            13.569              11.067             2.502         2.994
PREH2O_OCEAN      21.086              17.637             3.449         4.170
PSI_200           -8.733              -8.619            -0.114         0.453
PS               974.922             976.925            -2.003        16.603
PSL             1020.739            1018.666             2.074         2.642
QFLX               2.510               2.285             0.225         0.585
SHFLX             21.710              23.001            -1.291        15.562
SNOWHLND           4.092               6.832            -2.740        13.890
SST               18.491              15.755             2.736         2.851
STRESS_MAG         0.075               0.076            -0.001         0.017
SWCF             -20.085             -20.864             0.779         4.287
T_850            272.270             268.786             3.484         3.704
TGCLDLWP          25.900              24.028             1.872         7.893
TGCLDIWP          17.569              19.612            -2.044        12.933
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.056               0.066            -0.011         0.066
AODDUST            0.004               0.021            -0.017         0.062
TREFHT           275.936             271.484             4.452         5.986
TS               276.863             272.325             4.538         6.554
TS_LAND          266.238             262.678             3.560         5.274
U_200             27.105              25.675             1.430         2.916
VT_850             0.332               0.374            -0.042         2.038
Z3_500            55.610              54.661             0.949         0.962
