DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            58.292              54.761             3.531        25.095
RESSURF           62.714              58.709             4.005        30.748
SOLIN            445.843             447.342            -1.499         1.749
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.800              -4.028             0.228         0.731
CLDHGH            37.544              35.652             1.892         6.637
CLDLOW            37.969              42.092            -4.123        10.809
CLDMED            19.376              22.826            -3.450         6.291
CLDTOT            58.552              60.516            -1.965         7.608
EKE_850           15.366              19.619            -4.254         6.515
EP            -2.261e-01          -1.280e-01        -9.811e-02         0.967
FLNS              57.497              56.497             1.000        14.063
FLNSC             79.613              83.673            -4.060        14.413
FLNT             255.345             246.230             9.115        12.154
FLNTC            277.880             268.811             9.070        11.694
FSDS             241.168             239.275             1.893        27.938
FSDSC            322.128             322.427            -0.299        21.080
FSNS             212.919             198.222            14.697        33.462
FSNSC            286.666             271.983            14.684        41.849
FSNSC_ICE       -999.000             113.761          -999.000      -999.000
FSNSC_LAND       271.919             255.311            16.608        41.780
FSNT             313.638             300.992            12.646        29.836
FSNTC            381.276             367.316            13.960        39.236
ICEAREA            1.847               8.850            -7.003         0.470
LHFLX             66.091              59.465             6.626        19.849
LWCF              22.535              22.580            -0.045         5.843
PRECT              2.539               2.191             0.348         0.994
PRECT_LAND         2.916               2.439             0.477         1.177
PRECT_OCEAN        2.167               2.123             0.044         0.783
PREH2O            32.635              24.637             7.999         8.441
PREH2O_OCEAN      36.541              29.722             6.819         8.464
PSI_200           -4.789              -5.076             0.288         0.552
PS               973.366             975.825            -2.459        15.968
PSL             1015.792            1014.580             1.212         2.398
QFLX               2.313               2.063             0.249         0.645
SHFLX             26.618              23.552             3.066        15.430
SNOWHLND           0.269               3.469            -3.200        15.911
SST               23.103              19.691             3.412         3.787
STRESS_MAG         0.040               0.045            -0.005         0.016
SWCF             -67.638             -66.324            -1.314        17.909
T_850            289.603             284.220             5.383         6.037
TGCLDLWP          53.964              52.525             1.438        16.359
TGCLDIWP          18.557              16.188             2.369         9.228
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.078               0.182            -0.105         0.286
AODDUST            0.014               0.118            -0.104         0.281
TREFHT           295.856             290.440             5.417         6.570
TS               296.489             290.966             5.523         6.834
TS_LAND          298.636             292.442             6.194         7.660
U_200             10.536              11.942            -1.406         3.447
VT_850             0.056               0.074            -0.018         2.366
Z3_500            58.533              57.371             1.162         1.231
