DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            18.396              12.586             5.810        22.230
RESSURF           19.816              15.308             4.508        15.783
SOLIN            365.993             363.516             2.477         2.739
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.794               2.156            -0.362         1.105
CLDHGH            37.688              36.391             1.297         5.064
CLDLOW            39.150              43.977            -4.827         7.511
CLDMED            29.174              31.089            -1.915         4.920
CLDTOT            60.395              63.455            -3.060         5.195
EKE_850           30.799              34.420            -3.621         5.088
EP             7.022e-02           5.716e-02         1.306e-02         0.503
FLNS              66.525              62.109             4.416        11.448
FLNSC             92.208              90.452             1.756        11.987
FLNT             234.310             224.705             9.604        11.360
FLNTC            254.724             245.981             8.743        11.275
FSDS             211.580             207.445             4.135        20.849
FSDSC            272.018             268.165             3.852        14.914
FSNS             176.682             159.582            17.099        31.710
FSNSC            230.282             212.199            18.083        40.133
FSNSC_ICE         45.437              44.026             1.411        15.724
FSNSC_LAND       213.345             191.502            21.843        47.876
FSNT             252.706             237.292            15.414        29.068
FSNTC            300.521             283.735            16.785        37.663
ICEAREA            7.982              14.159            -6.177         0.323
LHFLX             61.555              56.276             5.279        11.668
LWCF              20.414              21.276            -0.861         4.348
PRECT              2.019               1.837             0.182         0.525
PRECT_LAND         1.672               1.488             0.184         0.513
PRECT_OCEAN        2.602               2.471             0.131         0.554
PREH2O            17.505              13.972             3.533         3.957
PREH2O_OCEAN      23.418              19.387             4.031         4.831
PSI_200           -8.513              -8.392            -0.121         0.304
PS               975.010             976.999            -1.989        16.634
PSL             1018.957            1017.125             1.832         2.337
QFLX               2.090               1.895             0.195         0.382
SHFLX             28.785              25.888             2.897        16.435
SNOWHLND           3.992               7.366            -3.374        13.267
SST               18.367              15.601             2.766         2.905
STRESS_MAG         0.045               0.044             0.001         0.012
SWCF             -47.815             -46.444            -1.371        13.100
T_850            278.567             274.422             4.145         4.475
TGCLDLWP          33.849              31.805             2.044         9.259
TGCLDIWP          16.939              18.736            -1.797         7.501
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.062               0.145            -0.083         0.212
AODDUST            0.014               0.095            -0.081         0.204
TREFHT           284.692             279.578             5.114         6.413
TS               285.416             280.211             5.205         6.694
TS_LAND          283.383             277.928             5.455         7.571
U_200             22.145              21.366             0.779         2.584
VT_850             0.362               0.422            -0.061         1.589
Z3_500            56.579              55.581             0.997         1.011
