DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM           -74.175             -71.304            -2.871         7.074
RESSURF          -41.273             -39.724            -1.550        22.495
SOLIN            236.054             238.509            -2.455         2.510
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.956              -1.987             0.031         1.498
CLDHGH            37.074              35.123             1.952         4.212
CLDLOW            40.437              44.739            -4.302         8.207
CLDMED            27.226              29.655            -2.428         3.865
CLDTOT            59.755              61.833            -2.079         5.549
EKE_850           27.971              31.432            -3.461         4.696
EP             4.148e-02           2.318e-02         1.830e-02         0.581
FLNS              59.953              59.258             0.695         7.314
FLNSC             84.678              86.620            -1.942        11.104
FLNT             239.749             233.199             6.550         8.287
FLNTC            259.632             252.501             7.131        10.065
FSDS             129.644             127.624             2.020         9.166
FSDSC            166.957             168.294            -1.337         7.582
FSNS             113.588             109.118             4.470        10.353
FSNSC            146.575             144.802             1.773        11.295
FSNSC_ICE       -999.000              10.013          -999.000      -999.000
FSNSC_LAND       130.389             130.541            -0.153        15.986
FSNT             165.574             161.895             3.679         7.649
FSNTC            196.737             195.040             1.697         8.193
ICEAREA            0.115               8.167            -8.052         0.792
LHFLX             75.763              70.254             5.509        18.188
LWCF              19.883              19.302             0.581         4.083
PRECT              2.541               2.363             0.178         0.535
PRECT_LAND         1.833               1.643             0.190         0.531
PRECT_OCEAN        3.297               3.312            -0.014         0.520
PREH2O            23.292              18.435             4.856         5.275
PREH2O_OCEAN      29.774              25.290             4.485         6.283
PSI_200           -6.742              -6.681            -0.062         0.295
PS               974.498             976.501            -2.003        15.897
PSL             1018.497            1016.595             1.902         2.305
QFLX               2.583               2.386             0.197         0.582
SHFLX             19.145              19.329            -0.184         9.748
SNOWHLND           0.676               3.603            -2.926        15.515
SST               22.784              19.518             3.266         3.495
STRESS_MAG         0.048               0.054            -0.007         0.012
SWCF             -31.163             -33.145             1.982         6.452
T_850            281.014             277.090             3.924         4.146
TGCLDLWP          36.136              35.757             0.379        10.056
TGCLDIWP          14.462              14.861            -0.399         7.629
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.060               0.105            -0.045         0.134
AODDUST            0.006               0.051            -0.045         0.129
TREFHT           287.396             282.709             4.687         6.115
TS               288.208             283.416             4.791         6.560
TS_LAND          282.631             278.496             4.135         5.572
U_200             19.439              19.000             0.439         1.579
VT_850             0.082               0.097            -0.015         1.399
Z3_500            57.187              56.186             1.001         1.015
