DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM           -22.862             -22.875             0.014         6.551
RESSURF           -5.361              -5.128            -0.233        10.471
SOLIN            303.200             303.734            -0.535         0.540
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.657               0.523             0.134         0.728
CLDHGH            34.993              35.294            -0.301         3.090
CLDLOW            49.004              52.933            -3.929         7.394
CLDMED            29.030              31.744            -2.714         4.403
CLDTOT            64.458              67.755            -3.297         5.595
EKE_850           39.587              41.788            -2.201         3.596
EP             1.695e-01           1.373e-01         3.224e-02         0.383
FLNS              52.705              53.862            -1.157         5.059
FLNSC             83.872              87.900            -4.028         8.045
FLNT             231.630             225.571             6.059         7.365
FLNTC            252.422             246.174             6.248         8.362
FSDS             164.846             166.173            -1.327        10.958
FSDSC            219.822             223.904            -4.082         4.709
FSNS             144.146             139.856             4.290         9.623
FSNSC            194.178             191.830             2.348        15.292
FSNSC_ICE         42.676              58.867           -16.191        19.134
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             208.768             202.696             6.073        10.119
FSNTC            254.086             249.149             4.936        15.185
ICEAREA            5.095              10.839            -5.743         0.423
LHFLX             83.995              76.416             7.578        10.900
LWCF              20.792              20.602             0.189         3.476
PRECT              2.681               2.441             0.240         0.424
PRECT_LAND         1.654               1.334             0.320         0.448
PRECT_OCEAN        2.934               2.786             0.147         0.377
PREH2O            20.732              16.606             4.126         4.398
PREH2O_OCEAN      22.326              19.065             3.261         4.613
PSI_200            7.869               7.808             0.061         0.189
PS               985.311             982.505             2.806        16.480
PSL             1008.568            1006.949             1.619         2.418
QFLX               2.851               2.578             0.273         0.365
SHFLX             12.807              14.706            -1.899         7.425
SNOWHLND          40.803              47.113            -6.309        14.816
SST               17.453              14.471             2.982         3.064
STRESS_MAG         0.083               0.088            -0.005         0.011
SWCF             -45.318             -46.454             1.136         9.923
T_850            277.856             274.519             3.338         3.691
TGCLDLWP          39.719              37.951             1.768        11.150
TGCLDIWP          14.336              16.540            -2.203         7.323
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.100               0.081             0.019         0.027
AODDUST            0.000               0.004            -0.004         0.019
TREFHT           284.360             280.041             4.319         5.376
TS               285.030             280.757             4.273         5.497
TS_LAND          269.753             262.167             7.586         6.565
U_200             26.853              25.978             0.875         1.639
VT_850            -0.182              -0.289             0.107         1.042
Z3_500            55.609              54.714             0.896         0.903
