DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            83.955              78.648             5.308        17.346
RESSURF           90.814              85.903             4.910        17.575
SOLIN            471.560             471.115             0.445         0.538
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.052              -3.519             0.468         0.698
CLDHGH            33.944              34.862            -0.918         3.806
CLDLOW            48.863              51.882            -3.019         7.270
CLDMED            24.744              27.791            -3.047         4.835
CLDTOT            63.869              66.753            -2.884         5.917
EKE_850           25.928              28.184            -2.256         3.391
EP             4.691e-02           5.442e-02        -7.504e-03         0.524
FLNS              48.775              51.114            -2.339         5.878
FLNSC             78.810              84.825            -6.014         7.902
FLNT             240.910             235.822             5.088         6.909
FLNTC            260.663             255.489             5.173         6.648
FSDS             261.862             265.443            -3.581        21.199
FSDSC            349.263             354.747            -5.484         7.425
FSNS             224.845             217.776             7.069        19.834
FSNSC            305.757             299.446             6.311        32.872
FSNSC_ICE        101.849             115.808           -13.959         9.730
FSNSC_LAND       199.680             178.780            20.900         9.740
FSNT             324.865             314.469            10.396        20.654
FSNTC            396.759             386.036            10.723        32.897
ICEAREA            3.015               6.884            -3.869         0.359
LHFLX             75.437              69.441             5.996        10.433
LWCF              19.753              19.668             0.085         3.318
PRECT              2.542               2.314             0.227         0.489
PRECT_LAND         2.738               2.176             0.563         0.585
PRECT_OCEAN        2.546               2.421             0.125         0.467
PREH2O            25.566              20.344             5.221         5.648
PREH2O_OCEAN      26.574              22.144             4.431         5.772
PSI_200            7.321               7.263             0.058         0.217
PS               985.262             982.487             2.774        16.209
PSL             1008.053            1006.467             1.586         2.309
QFLX               2.588               2.369             0.220         0.332
SHFLX              9.820              11.318            -1.498         5.004
SNOWHLND          40.455              47.015            -6.560        15.676
SST               18.930              15.794             3.136         3.230
STRESS_MAG         0.070               0.076            -0.006         0.015
SWCF             -71.894             -71.567            -0.327        18.960
T_850            280.911             277.618             3.293         3.539
TGCLDLWP          45.035              43.127             1.909        12.859
TGCLDIWP          11.049              12.553            -1.504         4.934
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.086               0.084             0.002         0.040
AODDUST            0.000               0.005            -0.005         0.034
TREFHT           287.860             284.068             3.792         4.354
TS               288.369             284.606             3.763         4.423
TS_LAND          278.905             272.188             6.717         6.128
U_200             21.898              21.131             0.767         2.118
VT_850            -0.070              -0.148             0.078         1.234
Z3_500            56.296              55.400             0.896         0.909
