DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM          -119.331            -116.063            -3.268         6.668
RESSURF          -92.494             -88.842            -3.652        24.289
SOLIN            150.799             149.613             1.186         1.230
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.359               4.656            -0.297         0.996
CLDHGH            35.296              35.041             0.255         3.397
CLDLOW            49.123              53.995            -4.872         8.419
CLDMED            33.273              35.549            -2.276         5.008
CLDTOT            64.859              68.544            -3.685         6.188
EKE_850           50.061              52.669            -2.609         4.847
EP             2.273e-01           1.777e-01         4.957e-02         0.415
FLNS              56.354              56.297             0.057         6.295
FLNSC             88.736              90.858            -2.122        10.004
FLNT             223.205             216.227             6.978         8.662
FLNTC            245.414             237.974             7.440        10.930
FSDS              77.887              75.719             2.168         4.515
FSDSC            103.126             103.904            -0.778         1.058
FSNS              71.040              68.380             2.661         4.177
FSNSC             93.094              92.888             0.206         2.917
FSNSC_ICE          0.636               2.227            -1.591         0.245
FSNSC_LAND        83.880              69.628            14.252         3.638
FSNT             103.873             100.163             3.710         4.904
FSNTC            125.072             123.359             1.713         3.107
ICEAREA            6.392              14.399            -8.007         0.590
LHFLX             91.839              83.233             8.606        14.292
LWCF              22.209              21.748             0.462         4.671
PRECT              2.873               2.614             0.259         0.486
PRECT_LAND         0.885               0.755             0.130         0.447
PRECT_OCEAN        3.320               3.163             0.157         0.428
PREH2O            16.428              13.220             3.208         3.395
PREH2O_OCEAN      18.325              15.762             2.563         3.672
PSI_200            7.770               7.831            -0.061         0.288
PS               985.744             982.844             2.899        16.818
PSL             1009.363            1007.658             1.706         2.861
QFLX               3.100               2.792             0.309         0.466
SHFLX             15.341              17.691            -2.350        12.817
SNOWHLND          41.034              47.170            -6.135        14.512
SST               15.818              12.938             2.880         2.968
STRESS_MAG         0.096               0.100            -0.004         0.014
SWCF             -21.198             -23.196             1.997         4.130
T_850            275.031             271.588             3.443         3.955
TGCLDLWP          34.848              32.968             1.880        11.357
TGCLDIWP          18.145              21.044            -2.898        12.022
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.099               0.077             0.023         0.021
AODDUST            0.000               0.002            -0.002         0.007
TREFHT           281.411             276.509             4.902         6.679
TS               282.228             277.382             4.847         6.955
TS_LAND          262.161             254.055             8.106         7.221
U_200             31.039              30.149             0.889         2.425
VT_850            -0.290              -0.438             0.148         1.731
Z3_500            55.008              54.102             0.906         0.926
