DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM           -73.607             -69.730            -3.877         6.343
RESSURF          -48.699             -45.012            -3.687        16.278
SOLIN            229.218             231.658            -2.440         2.466
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.182              -1.510             0.328         0.475
CLDHGH            35.873              36.162            -0.289         3.199
CLDLOW            47.775              51.639            -3.865         8.402
CLDMED            28.683              31.670            -2.987         4.925
CLDTOT            64.096              67.318            -3.223         6.190
EKE_850           36.988              39.099            -2.111         3.743
EP             1.668e-01           1.354e-01         3.141e-02         0.431
FLNS              51.399              52.642            -1.243         6.522
FLNSC             81.202              85.757            -4.555         9.786
FLNT             233.045             226.695             6.350         8.090
FLNTC            254.343             248.062             6.280         9.197
FSDS             119.416             119.496            -0.079         6.738
FSDSC            160.269             164.765            -4.496         4.624
FSNS             108.742             107.326             1.416         5.738
FSNSC            145.341             147.868            -2.527         6.045
FSNSC_ICE          9.576              19.831           -10.255         4.518
FSNSC_LAND       111.970              95.388            16.582         4.338
FSNT             159.438             156.965             2.473         5.738
FSNTC            193.742             194.405            -0.663         5.075
ICEAREA            2.827               6.790            -3.963         0.538
LHFLX             93.689              85.241             8.449        12.426
LWCF              21.298              21.367            -0.070         3.696
PRECT              3.021               2.750             0.272         0.493
PRECT_LAND         1.661               1.310             0.351         0.561
PRECT_OCEAN        3.313               3.131             0.182         0.437
PREH2O            23.101              18.485             4.616         4.915
PREH2O_OCEAN      24.621              20.674             3.947         5.080
PSI_200            8.258               8.122             0.136         0.200
PS               985.310             982.573             2.737        16.512
PSL             1008.678            1007.148             1.531         2.564
QFLX               3.188               2.885             0.303         0.413
SHFLX             12.352              14.455            -2.103         8.831
SNOWHLND          39.711              46.971            -7.260        18.668
SST               18.462              15.330             3.132         3.226
STRESS_MAG         0.081               0.088            -0.007         0.015
SWCF             -34.304             -37.440             3.136         6.837
T_850            279.059             275.746             3.313         3.718
TGCLDLWP          39.601              38.913             0.688        12.976
TGCLDIWP          14.053              16.579            -2.526         8.105
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.094               0.082             0.012         0.019
AODDUST            0.000               0.002            -0.002         0.009
TREFHT           285.601             281.156             4.444         5.853
TS               286.357             281.960             4.397         6.029
TS_LAND          268.217             260.353             7.864         7.037
U_200             25.409              24.753             0.655         1.598
VT_850            -0.133              -0.239             0.107         1.196
Z3_500            55.875              54.974             0.902         0.914
