DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            20.330              15.632             4.698        15.290
RESSURF           31.428              27.423             4.005        15.379
SOLIN            365.560             362.553             3.007         3.180
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.442               2.459            -0.016         1.694
CLDHGH            34.832              35.087            -0.255         4.414
CLDLOW            50.264              54.210            -3.946         7.323
CLDMED            29.329              31.960            -2.631         4.790
CLDTOT            65.002              68.396            -3.394         6.153
EKE_850           38.760              40.972            -2.212         4.132
EP             2.354e-01           1.819e-01         5.346e-02         0.463
FLNS              54.227              55.397            -1.170         5.866
FLNSC             86.663              90.162            -3.498         7.654
FLNT             229.540             223.559             5.981         7.546
FLNTC            249.412             243.180             6.231         7.942
FSDS             202.747             204.029            -1.281        17.143
FSDSC            269.992             272.200            -2.208         4.267
FSNS             174.040             165.948             8.092        18.270
FSNSC            235.394             227.129             8.265        30.250
FSNSC_ICE         56.425              61.764            -5.340        22.807
FSNSC_LAND       159.447             137.293            22.154         7.317
FSNT             249.870             239.191            10.679        18.995
FSNTC            304.418             292.809            11.609        30.204
ICEAREA            8.135              15.274            -7.139         0.518
LHFLX             74.720              67.767             6.953        11.968
LWCF              19.872              19.621             0.251         3.848
PRECT              2.280               2.085             0.195         0.450
PRECT_LAND         1.350               1.097             0.252         0.465
PRECT_OCEAN        2.519               2.391             0.129         0.423
PREH2O            17.908              14.377             3.531         3.880
PREH2O_OCEAN      19.545              16.762             2.784         4.032
PSI_200            8.119               8.012             0.107         0.319
PS               984.925             982.125             2.800        16.477
PSL             1008.163            1006.532             1.631         2.595
QFLX               2.515               2.267             0.249         0.388
SHFLX             13.665              15.362            -1.697         8.502
SNOWHLND          42.019              47.292            -5.274        11.161
SST               15.691              12.801             2.890         2.975
STRESS_MAG         0.098               0.098             0.000         0.013
SWCF             -54.548             -53.618            -0.930        16.063
T_850            276.473             273.115             3.358         3.704
TGCLDLWP          39.499              36.811             2.689        12.057
TGCLDIWP          14.021              15.977            -1.956         8.672
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.093               0.081             0.012         0.035
AODDUST            0.000               0.005            -0.005         0.027
TREFHT           282.625             278.433             4.192         5.104
TS               283.217             279.083             4.134         5.212
TS_LAND          269.928             262.074             7.854         6.353
U_200             28.982              27.871             1.111         2.520
VT_850            -0.217              -0.326             0.108         1.249
Z3_500            55.269              54.381             0.888         0.898
