DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            45.215              46.421            -1.206         7.304
RESSURF           13.884              14.964            -1.080         6.294
SOLIN            407.485             407.600            -0.115         0.199
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.494              -0.569             0.075         0.836
CLDHGH            42.887              43.870            -0.983         3.734
CLDLOW            31.597              32.273            -0.676         3.321
CLDMED            19.055              20.139            -1.084         3.177
CLDTOT            59.392              60.819            -1.427         3.446
EKE_850           14.248              16.422            -2.175         3.239
EP            -1.736e-01          -1.494e-01        -2.420e-02         0.896
FLNS              46.888              51.875            -4.987         7.554
FLNSC             60.790              68.960            -8.170         9.910
FLNT             254.842             251.895             2.947         6.039
FLNTC            285.032             283.101             1.932         3.166
FSDS             222.189             222.109             0.080        10.816
FSDSC            290.796             291.209            -0.413         9.783
FSNS             206.750             205.734             1.016        14.219
FSNSC            271.207             270.600             0.606        14.321
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             300.057             298.316             1.742         9.282
FSNTC            360.539             358.707             1.832         7.248
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            129.543             122.755             6.788        13.157
LWCF              30.190              31.206            -1.015         3.851
PRECT              4.672               4.410             0.262         0.864
PRECT_LAND         4.125               3.637             0.489         0.679
PRECT_OCEAN        4.840               4.633             0.207         0.916
PREH2O            48.511              39.887             8.624         8.936
PREH2O_OCEAN      50.571              41.859             8.712         9.114
PSI_200           -0.677              -0.614            -0.063         0.251
PS               996.865             995.848             1.017         4.188
PSL             1012.941            1010.942             1.999         2.058
QFLX               4.498               4.261             0.238         0.404
SHFLX             16.435              16.140             0.296         6.454
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.026              26.787             2.239         2.265
STRESS_MAG         0.054               0.054             0.000         0.009
SWCF             -60.481             -60.391            -0.090         7.203
T_850            291.941             289.292             2.649         2.674
TGCLDLWP          50.821              48.169             2.652        15.630
TGCLDIWP          17.553              17.441             0.112         5.403
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.115               0.163            -0.048         0.159
AODDUST            0.005               0.050            -0.045         0.150
TREFHT           300.801             298.358             2.443         2.530
TS               301.770             299.376             2.393         2.616
TS_LAND          300.372             297.324             3.048         3.543
U_200              2.826               3.575            -0.749         2.017
VT_850             0.390               0.372             0.018         0.917
Z3_500            59.155              58.353             0.802         0.802
