DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            48.598              49.527            -0.929         8.361
RESSURF           13.373              13.824            -0.450        11.829
SOLIN            412.479             412.596            -0.118         0.159
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.516              -0.703             0.187         1.021
CLDHGH            43.888              44.732            -0.843         5.318
CLDLOW            31.078              31.492            -0.414         4.026
CLDMED            19.572              20.545            -0.973         3.703
CLDTOT            59.198              60.336            -1.138         4.541
EKE_850           10.077              11.516            -1.439         2.705
EP            -2.162e-01          -1.742e-01        -4.203e-02         1.072
FLNS              47.944              53.031            -5.087         8.605
FLNSC             61.609              69.802            -8.193        10.547
FLNT             254.117             251.390             2.727         7.538
FLNTC            284.717             282.861             1.857         3.741
FSDS             224.402             224.577            -0.174        12.441
FSDSC            294.396             294.692            -0.297         9.440
FSNS             208.843             207.970             0.873        15.336
FSNSC            274.468             273.761             0.708        13.231
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       257.617             243.098            14.518        27.760
FSNT             302.715             300.917             1.798        11.049
FSNTC            364.532             362.388             2.144         7.312
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            132.008             125.891             6.117        14.656
LWCF              30.601              31.471            -0.870         5.226
PRECT              4.805               4.546             0.259         1.038
PRECT_LAND         4.738               4.190             0.548         0.805
PRECT_OCEAN        4.799               4.625             0.174         1.060
PREH2O            47.567              38.957             8.610         9.065
PREH2O_OCEAN      49.678              41.086             8.592         9.183
PSI_200            1.302               1.249             0.053         0.296
PS               996.086             995.253             0.833         4.188
PSL             1012.178            1010.362             1.816         1.909
QFLX               4.589               4.372             0.217         0.447
SHFLX             15.517              15.223             0.294         7.225
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.030              26.735             2.295         2.330
STRESS_MAG         0.059               0.062            -0.003         0.013
SWCF             -61.817             -61.471            -0.346         8.552
T_850            291.587             288.874             2.713         2.772
TGCLDLWP          51.957              48.840             3.117        20.037
TGCLDIWP          18.165              18.295            -0.130         7.118
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.110               0.162            -0.051         0.147
AODDUST            0.002               0.047            -0.044         0.133
TREFHT           300.493             298.023             2.470         2.579
TS               301.430             299.016             2.414         2.663
TS_LAND          299.042             295.988             3.054         3.568
U_200              3.187               4.216            -1.029         2.640
VT_850            -2.336              -2.486             0.150         1.259
Z3_500            59.064              58.264             0.800         0.800
