DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            27.453              29.191            -1.738         7.870
RESSURF           -4.254              -2.673            -1.581        12.390
SOLIN            388.548             388.164             0.384         0.560
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.473              -0.546             0.073         1.273
CLDHGH            41.738              43.445            -1.707         6.099
CLDLOW            31.680              32.494            -0.813         4.483
CLDMED            18.810              20.264            -1.454         5.006
CLDTOT            59.122              61.164            -2.042         5.527
EKE_850            9.732              10.471            -0.739         1.923
EP             3.361e-02          -1.431e-02         4.793e-02         1.443
FLNS              46.635              50.822            -4.187         7.330
FLNSC             60.708              67.974            -7.267         9.124
FLNT             256.313             251.906             4.407         9.066
FLNTC            285.030             282.557             2.473         3.912
FSDS             208.637             206.783             1.855        14.390
FSDSC            275.460             274.873             0.587        12.169
FSNS             193.775             191.308             2.466        16.162
FSNSC            256.538             255.032             1.506        15.945
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       241.077             226.366            14.710        34.511
FSNT             283.766             281.097             2.669        11.037
FSNTC            342.565             340.457             2.108         7.116
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            134.805             126.973             7.831        19.843
LWCF              28.717              30.650            -1.934         6.195
PRECT              4.619               4.403             0.216         1.334
PRECT_LAND         3.181               2.902             0.279         0.947
PRECT_OCEAN        5.096               4.859             0.237         1.426
PREH2O            48.208              40.398             7.810         8.465
PREH2O_OCEAN      50.716              42.571             8.145         8.762
PSI_200           -2.851              -2.634            -0.218         0.335
PS               998.003             996.639             1.364         4.275
PSL             1014.123            1011.774             2.349         2.415
QFLX               4.653               4.388             0.264         0.589
SHFLX             16.589              16.186             0.403         7.444
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.851              26.707             2.145         2.174
STRESS_MAG         0.069               0.072            -0.002         0.013
SWCF             -58.799             -59.360             0.561        10.161
T_850            291.639             289.081             2.558         2.614
TGCLDLWP          50.154              49.012             1.142        15.975
TGCLDIWP          15.650              16.051            -0.401         6.701
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.132               0.183            -0.050         0.204
AODDUST            0.007               0.055            -0.048         0.190
TREFHT           300.572             298.217             2.355         2.460
TS               301.503             299.197             2.306         2.547
TS_LAND          299.800             296.787             3.013         3.518
U_200              0.671               1.463            -0.792         2.112
VT_850             3.146               3.263            -0.116         1.419
Z3_500            59.226              58.421             0.804         0.805
