DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            51.658              53.667            -2.010         8.522
RESSURF           21.870              24.836            -2.966        11.242
SOLIN            411.948             412.456            -0.508         0.901
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.567              -0.601             0.034         0.941
CLDHGH            43.590              44.475            -0.885         4.905
CLDLOW            31.012              31.412            -0.400         3.838
CLDMED            18.284              19.314            -1.030         4.449
CLDTOT            59.350              60.427            -1.077         4.193
EKE_850           10.077              11.423            -1.346         2.343
EP            -1.621e-01          -1.411e-01        -2.100e-02         1.167
FLNS              47.291              52.577            -5.286         9.373
FLNSC             60.705              68.943            -8.238        11.259
FLNT             255.079             252.683             2.396         8.476
FLNTC            285.681             283.989             1.692         3.868
FSDS             228.917             230.101            -1.183        14.637
FSDSC            295.194             295.712            -0.519        11.545
FSNS             213.081             213.138            -0.058        17.993
FSNSC            275.400             274.787             0.613        16.224
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       258.262             242.058            16.204        35.657
FSNT             306.737             306.351             0.386        11.613
FSNTC            365.266             363.772             1.494         7.658
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            127.494             119.638             7.856        15.939
LWCF              30.602              31.306            -0.704         5.784
PRECT              4.588               4.293             0.295         1.114
PRECT_LAND         4.218               3.764             0.454         0.709
PRECT_OCEAN        4.694               4.440             0.254         1.150
PREH2O            49.014              40.206             8.808         9.379
PREH2O_OCEAN      51.010              42.067             8.943         9.630
PSI_200            0.196               0.208            -0.012         0.235
PS               996.235             995.324             0.911         4.122
PSL             1012.279            1010.381             1.898         1.973
QFLX               4.426               4.152             0.274         0.481
SHFLX             16.426              16.088             0.338         8.122
SNOWHLND           0.000               0.000             0.000         0.000
SST               29.397              27.167             2.230         2.262
STRESS_MAG         0.052               0.051             0.001         0.010
SWCF             -58.529             -57.421            -1.108         9.130
T_850            292.399             289.813             2.586         2.624
TGCLDLWP          47.658              43.876             3.782        16.953
TGCLDIWP          17.755              17.534             0.221         6.326
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.105               0.155            -0.051         0.182
AODDUST            0.006               0.057            -0.051         0.174
TREFHT           301.238             298.839             2.400         2.507
TS               302.255             299.898             2.357         2.636
TS_LAND          301.221             298.352             2.870         3.622
U_200              5.683               6.116            -0.432         2.076
VT_850             0.063              -0.115             0.178         1.168
Z3_500            59.148              58.353             0.795         0.795
