DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399. (yrs 300-399)
 
CONTROL CASE: b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily (yrs 1-48)
 
Variable    b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.  b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily  b.ie12.B1850.f19_g16.PIMP4-pliomip2.modMed.cam.h0.0300-0399.        RMSE
                                                      -b.ie12.BG1850C5CN.f19_g16.0ka_0urb.001_daily
RESTOM            53.319              53.308             0.011         8.878
RESSURF           24.660              23.854             0.806        12.342
SOLIN            417.178             417.182            -0.004         0.827
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.415              -0.421             0.006         2.006
CLDHGH            42.349              42.855            -0.506         5.679
CLDLOW            32.617              33.690            -1.073         5.168
CLDMED            19.572              20.429            -0.857         4.417
CLDTOT            59.901              61.363            -1.462         5.492
EKE_850           10.381              13.067            -2.685         4.656
EP            -3.530e-01          -2.679e-01        -8.511e-02         1.313
FLNS              45.691              51.084            -5.393         8.051
FLNSC             60.148              69.135            -8.987        10.350
FLNT             253.824             251.588             2.236         8.661
FLNTC            284.687             282.991             1.697         3.403
FSDS             226.892             226.989            -0.097        12.570
FSDSC            298.294             299.579            -1.285         8.900
FSNS             211.395             210.531             0.863        14.682
FSNSC            278.571             278.838            -0.267        13.556
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       259.859             246.844            13.015        29.463
FSNT             307.143             304.896             2.248        11.650
FSNTC            369.982             368.213             1.769         7.236
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            123.847             118.525             5.322        16.959
LWCF              30.863              31.403            -0.540         6.370
PRECT              4.679               4.398             0.280         1.208
PRECT_LAND         4.382               3.692             0.690         1.251
PRECT_OCEAN        4.769               4.608             0.160         1.153
PREH2O            49.243              39.983             9.260         9.757
PREH2O_OCEAN      50.862              41.707             9.155         9.649
PSI_200           -1.321              -1.281            -0.040         0.377
PS               997.122             996.190             0.932         4.236
PSL             1013.172            1011.267             1.905         2.056
QFLX               4.326               4.130             0.195         0.494
SHFLX             17.197              17.068             0.128         9.546
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.822              26.538             2.284         2.330
STRESS_MAG         0.056               0.056            -0.001         0.013
SWCF             -62.838             -63.317             0.478        11.082
T_850            292.144             289.411             2.733         2.800
TGCLDLWP          53.570              50.942             2.628        19.947
TGCLDIWP          18.670              17.887             0.783         8.041
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.113               0.153            -0.041         0.155
AODDUST            0.003               0.041            -0.039         0.144
TREFHT           300.893             298.352             2.541         2.662
TS               301.885             299.395             2.490         2.751
TS_LAND          301.409             298.173             3.236         3.698
U_200              1.758               2.502            -0.744         2.818
VT_850             0.612               0.819            -0.207         1.322
Z3_500            59.179              58.372             0.807         0.808
